blank,NoName,NoName
bergepe01,Peter,Bergeron
berghma01,Marty,Berghammer
bergju01,Justin,Berg
bergmda01,Dave,Bergman
bergmdu01,Dusty,Bergman
bergmja01,Jason,Bergmann
bergmse01,Sean,Bergman
bergowi01,William,Bergolla
berkeja01,Jason,Berken
berkmla01,Lance,Berkman
bernaro01,Roger,Bernadina
bernato01,Tony,Bernazard
bernead01,Adam,Bernero
bernido01,Doug,Bernier
berroan01,Angel,Berroa
berroge01,Geronimo,Berroa
berryda01,Damon,Berryhill
berryqu01,Quintin,Berry
berryse01,Sean,Berry
bertomi01,Mike,Bertotti
beruman01,Andrés,Berumen
beschbo01,Bob,Bescher
betande01,Dellin,Betances
betanra01,Rafael,Betancourt
betanyu01,Yuniesky,Betancourt
betemwi01,Wilson,Betemit
bethach01,Christian,Bethancourt
bettich01,Chad,Bettis
beverja01,Jason,Beverlin
bevilbr01,Brian,Bevil
biancje01,Jeff,Bianchi
bicheda01,Dante,Bichette
biddlro01,Rocky,Biddle
bielemi01,Mike,Bielecki
bierbni01,Nick,Bierbrodt
bierdra01,Randor,Bierd
biesest01,Steve,Bieser
bigbila01,Larry,Bigbie
biggicr01,Craig,Biggio
bilarda01,Dann,Bilardello
billibr01,Brent,Billingsley
billibr02,Bruce,Billings
billich01,Chad,Billingsley
birkbmi01,Mike,Birkbeck
birkiku01,Kurt,Birkins
birmijo01,Joe,Birmingham
birtsti01,Tim,Birtsas
bisenjo01,Joe,Bisenius
bitkejo01,Joe,Bitker
bixlebr01,Brian,Bixler
blackbu02,Buddy,Black
blackch02,Charlie,Blackmon
blackjo01,John,Black
blackni01,Nick,Blackburn
blacktr01,Travis,Blackley
blackvi01,Vic,Black
blairwa01,Walter,Blair
blairwi01,Willie,Blair
blakeca01,Casey,Blake
blaloha01,Hank,Blalock
blancan01,Andrés,Blanco
blancgr01,Gregor,Blanco
blanche01,Henry,Blanco
blancto01,Tony,Blanco
blandfr01,Fred,Blanding
blandna01,Nate,Bland
blankke01,Kevin,Blankenship
blankky01,Kyle,Blanks
blankla02,Lance,Blankenship
blankma01,Matt,Blank
blantjo01,Joe,Blanton
blausje01,Jeff,Blauser
blazemi01,Michael,Blazek
blaziro01,Ron,Blazier
blevije01,Jerry,Blevins
blissja01,Jack,Bliss
blockbr01,Bruno,Block
blomdbe01,Ben,Blomdahl
bloomwi01,Willie,Bloomquist
blossgr01,Greg,Blosser
blowemi01,Mike,Blowers
blumaja01,Jaime,Bluma
blumge01,Geoff,Blum
blylebe01,Bert,Blyleven
bocachi01,Hiram,Bocachica
bochtdo01,Doug,Bochtler
bococbr01,Brian,Bocock
boddimi01,Mike,Boddicker
bodiepi01,Ping,Bodie
boehrbr01,Brian,Boehringer
boescbr01,Brennan,Boesch
boevejo01,Joe,Boever
bogaexa01,Xander,Bogaerts
bogarti01,Tim,Bogar
boggsbr01,Brandon,Boggs
boggsmi01,Mitchell,Boggs
boggswa01,Wade,Boggs
bogusbr01,Brian,Bogusevic
bohanbr01,Brian,Bohanon
bohntj01,T.J.,Bohn
bolicfr01,Frank,Bolick
boltoro01,Rod,Bolton
boltoto01,Tom,Bolton
bondeje01,Jeremy,Bonderman
bondsba01,Barry,Bonds
bonesri01,Ricky,Bones
bongju01,Jung,Bong
bonifem01,Emilio,Bonifacio
bonilbo01,Bobby,Bonilla
bonined01,Eddie,Bonine
bonsebo01,Boof,Bonser
bookech01,Chris,Booker
bookegr01,Greg,Booker
bookero01,Rod,Booker
booneaa01,Aaron,Boone
boonebo01,Bob,Boone
boonebr01,Bret,Boone
booneda02,Danny,Boone
bootcch01,Chris,Bootcheck
bootyjo01,Josh,Booty
borboju01,Julio,Borbón
borbope02,Pedro,Borbon
borchjo01,Joe,Borchard
bordepa01,Pat,Borders
bordimi01,Mike,Bordick
borkoda01,Dave,Borkowski
borlato02,Toby,Borland
borowjo01,Joe,Borowski
boscajc01,J.C.,Boscan
boshebu01,Buddy,Boshers
bosioch01,Chris,Bosio
boskish01,Shawn,Boskie
bosleth01,Thad,Bosley
bostoda01,Daryl,Boston
bottari01,Ricky,Bottalico
botteke01,Kent,Bottenfield
bottsja01,Jason,Botts
bouchde01,Denis,Boucher
bourgja01,Jason,Bourgeois
bourgst01,Steve,Bourgeois
bourjpe01,Peter,Bourjos
bournmi01,Michael,Bourn
bournra01,Rafael,Bournigal
boveemi01,Mike,Bovee
bowdemi01,Michael,Bowden
bowenro01,Rob,Bowen
bowenry01,Ryan,Bowen
bowerbr01,Brent,Bowers
bowerce01,Cedrick,Bowers
bowersh01,Shane,Bowers
bowieji01,Jim,Bowie
bowiemi01,Micah,Bowie
bowkejo01,John,Bowker
bowlebr01,Brian,Bowles
bowyetr01,Travis,Bowyer
boxbebr01,Brad,Boxberger
boydja02,Jason,Boyd
boydoi01,Oil Can,Boyd
boydra01,Ray,Boyd
boyerbl01,Blaine,Boyer
bozema01,Marshall,Boze
brachbr01,Brad,Brach
brackan01,Andrew,Brackman
braddza01,Zach,Braddock
bradeda01,Dallas,Braden
bradfch01,Chad,Bradford
bradlhu01,Hugh,Bradley
bradlja02,Jackie,Bradley
bradlmi01,Milton,Bradley
bradlph01,Phil,Bradley
bradlry01,Ryan,Bradley
bradlsc01,Scott,Bradley
bradste01,Terry,Bradshaw
bradydo01,Doug,Brady
braggda01,Darren,Bragg
bragggl01,Glenn,Braggs
brandma01,Mark,Brandenburg
bransje01,Jeff,Branson
branski01,Kitty,Bransfield
brantcl01,Cliff,Brantley
brantje01,Jeff,Brantley
brantmi02,Michael,Brantley
brantro01,Rob,Brantly
branyru01,Russell,Branyan
brasiry01,Ryan,Brasier
braunry01,Ryan,Braun
braunry02,Ryan,Braun
braybi01,Bill,Bray
brazecr01,Craig,Brazell
brazede01,Dewon,Brazelton
brazoyh01,Yhency,Brazoban
breale01,Leslie,Brea
breamsi01,Sid,Bream
bredebr01,Brent,Brede
brennad01,Ad,Brennan
brennwi01,William,Brennan
breslcr01,Craig,Breslow
bresnro01,Roger,Bresnahan
brettge01,George,Brett
brewebi01,Billy,Brewer
brewech01,Charles,Brewer
brewero01,Rod,Brewer
brewija01,Jamie,Brewington
bridwal01,Al,Bridwell
brignre01,Reid,Brignac
brilegr01,Greg,Briley
brinkbr01,Brad,Brink
briscjo01,John,Briscoe
britobe01,Bernardo,Brito
britoeu01,Eude,Brito
britojo01,Jorge,Brito
britoju01,Juan,Brito
britoti01,Tilson,Brito
brittch01,Chris,Britton
brittdr01,Drake,Britton
brittza01,Zach,Britton
broadla01,Lance,Broadway
brocado01,Doug,Brocail
brockch01,Chris,Brock
brockgr01,Greg,Brock
brockle01,Lew,Brockett
brockta01,Tarrik,Brock
brodebr01,Brian,Broderick
brognri01,Rico,Brogna
brohatr01,Troy,Brohawn
bronkhe01,Herman,Bronkie
bronkje01,Jeff,Bronkey
brookfr01,Frank,Brooks
brookhu01,Hubie,Brooks
brookje01,Jerry,Brooks
brookto01,Tom,Brookens
brosisc01,Scott,Brosius
brosste01,Terry,Bross
brothre01,Rex,Brothers
brousbe01,Ben,Broussard
broweji01,Jim,Brower
brownad01,Adrian,Brown
brownan01,Andrew,Brown
brownan02,Andrew,Brown
brownba01,Barret,Browning
brownbo01,Boardwalk,Brown
brownbr01,Brant,Brown
brownbu01,Buster,Brown
brownco01,Corey,Brown
browncu01,Curly,Brown
brownde02,Dee,Brown
browndo01,Domonic,Brown
browndu01,Dusty,Brown
brownel01,Elmer,Brown
brownem01,Emil,Brown
brownge01,George,Browne
brownja03,Jarvis,Brown
brownja04,Jamie,Brown
brownje01,Jerry,Browne
brownje02,Jeremy,Brown
brownjo05,Jordan,Brown
brownke01,Kevin,Brown
brownke02,Keith,Brown
brownke03,Kevin,Brown
brownke04,Kevin,Brown
brownma03,Marty,Brown
brownma04,Mark,Brownson
brownma05,Matthew,Brown
brownmo01,Mordecai,Brown
brownro02,Roosevelt,Brown
brownto05,Tom,Browning
browsc01,Scott,Brow
broxtjo01,Jonathan,Broxton
bruceja01,Jay,Bruce
bruetj.01,J.T.,Bruett
brumbcl01,Cliff,Brumbaugh
brumfja01,Jacob,Brumfield
brumldu01,Duff,Brumley
brumlmi02,Mike,Brumley
brummgr01,Greg,Brummett
brummty01,Tyson,Brummett
brunato01,Tom,Brunansky
brunebr01,Brian,Bruney
bruneju01,Justin,Brunette
brunswi01,Will,Brunson
brunter01,Eric,Bruntlett
bruskji01,Jim,Bruske
bubelja01,Jaime,Bubela
buchabr01,Brian,Buchanan
buchhcl01,Clay,Buchholz
buchhta01,Taylor,Buchholz
buckega02,Gary,Buckels
buckjo01,John,Buck
bucknbi01,Bill,Buckner
bucknbi02,Billy,Buckner
bucktr01,Travis,Buck
buddery01,Ryan,Budde
buddimi01,Mike,Buddie
budzima01,Mark,Budzinski
buechst01,Steve,Buechele
buehrma01,Mark,Buehrle
buenofr01,Francisley,Bueno
buentja01,Jay,Buente
buforda01,Damon,Buford
buhneja01,Jay,Buhner
bukviry01,Ryan,Bukvich
bulgeja01,Jason,Bulger
bullesc01,Scott,Bullett
bullibr01,Bryan,Bullington
bulliji01,Jim,Bullinger
bulliki01,Kirk,Bullinger
bulloer01,Eric,Bullock
bumgama01,Madison,Bumgarner
bumpna01,Nate,Bump
bunchme01,Melvin,Bunch
bundydy01,Dylan,Bundy
burbada01,Dave,Burba
burchal01,Al,Burch
burgoam01,Ambiorix,Burgos
burgoen01,Enrique,Burgos
burgohi01,Hiram,Burgos
burkebi02,Billy,Burke
burkech01,Chris,Burke
burkegr01,Greg,Burke
burkeja02,Jamie,Burke
burkejo03,John,Burkett
burkejo04,John,Burke
burketi01,Tim,Burke
burkhmo01,Morgan,Burkhart
burksa01,Sandy,Burk
burksel01,Ellis,Burks
burnea.01,A.J.,Burnett
burneal01,Alex,Burnett
burnese01,Sean,Burnett
burnije01,Jeromy,Burnitz
burnsbi01,Bill,Burns
burnsco01,Cory,Burns
burnsge01,George,Burns
burnsmi01,Mike,Burns
burnsto02,Todd,Burns
burrebr01,Brian,Burres
burrepa01,Pat,Burrell
burriem01,Emmanuel,Burriss
burrose01,Sean,Burroughs
burrote01,Terry,Burrows
burtoja01,Jared,Burton
busbymi01,Mike,Busby
buschbr01,Brian,Buscher
buschmi01,Mike,Busch
bushda01,Dave,Bush
bushdo01,Donie,Bush
busheja01,Jack,Bushelman
bushho01,Homer,Bush
bushich01,Chris,Bushing
bushra01,Randy,Bush
bussni01,Nick,Buss
butchha01,Hank,Butcher
butchmi01,Mike,Butcher
buterdr01,Drew,Butera
butlead01,Adam,Butler
butlear01,Art,Butler
butlebi03,Billy,Butler
butlebr01,Brett,Butler
butlebr02,Brent,Butler
butlejo03,Josh,Butler
butlejo04,Joey,Butler
butleke01,Keith,Butler
butleri01,Rich,Butler
butlero01,Rob,Butler
bynumfr01,Freddie,Bynum
bynummi01,Mike,Bynum
byrdati01,Tim,Byrdak
byrdji01,Jim,Byrd
byrdma01,Marlon,Byrd
byrdpa01,Paul,Byrd
byrnebo01,Bobby,Byrne
byrneer01,Eric,Byrnes
cabrace01,Cesar,Cabral
cabreal02,Álex,Cabrera
cabreal03,Alberto,Cabrera
cabreas01,Asdrubal,Cabrera
cabreda01,Daniel,Cabrera
cabreed01,Edwar,Cabrera
cabreev01,Everth,Cabrera
cabrefe01,Fernando,Cabrera
cabrefr01,Francisco,Cabrera
cabrejo01,Jose,Cabrera
cabrejo02,Jolbert,Cabrera
cabreme01,Melky,Cabrera
cabremi01,Miguel,Cabrera
cabreor01,Orlando,Cabrera
cacered01,Édgar,Cáceres
cadargr01,Greg,Cadaret
cahiltr01,Trevor,Cahill
cainlo01,Lorenzo,Cain
cainma01,Matt,Cain
cairnca01,Cameron,Cairncross
cairomi01,Miguel,Cairo
caldeiv01,Ivan,Calderon
caldwra02,Ray,Caldwell
calerki01,Kiko,Calero
calhoko01,Kole,Calhoun
calica01,Carmen,Cali
callaal01,Alberto,Callaspo
